challenge_id,task_type,language_register,complexity_level,challenge_split,short_parse_success,short_query_exact,short_correct,short_status,short_latency_ms,long_parse_success,long_query_exact,long_correct,long_latency_ms,long_parser_latency_ms,llm_calls,input_tokens,output_tokens,invalid_responses,long_status,outcome
core-cardinal_direction-01,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.008542000000000272,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-02,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.002041999999993771,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-03,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.0013749999999979057,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-05,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.0012919999999999598,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-06,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.0014170000000035543,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-08,cardinal_direction,natural_msa,L1,dev,False,False,False,unsupported,0.0014580000000097293,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-09,cardinal_direction,natural_msa,L3,dev,False,False,False,unsupported,0.001209000000002014,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-11,cardinal_direction,natural_msa,L3,dev,False,False,False,unsupported,0.0012919999999999598,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-13,cardinal_direction,natural_msa,L4,dev,False,False,False,unsupported,0.0012499999999943112,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-15,cardinal_direction,natural_msa,L4,dev,False,False,False,unsupported,0.0014170000000035543,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-17,cardinal_direction,conversational,L2,dev,False,False,False,unsupported,0.0012910000000004862,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-18,cardinal_direction,conversational,L2,dev,False,False,False,unsupported,0.0012080000000025404,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-20,cardinal_direction,conversational,L2,dev,False,False,False,unsupported,0.0011670000000102432,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-21,cardinal_direction,conversational,L2,dev,False,False,False,unsupported,0.0012080000000025404,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-23,cardinal_direction,conversational,L2,dev,False,False,False,unsupported,0.006333999999996731,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-25,cardinal_direction,conversational,L3,dev,False,False,False,unsupported,0.0012499999999943112,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-27,cardinal_direction,conversational,L3,dev,False,False,False,unsupported,0.0011659999999968917,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-29,cardinal_direction,light_saudi,L1,dev,False,False,False,unsupported,0.0012499999999943112,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-30,cardinal_direction,light_saudi,L1,dev,False,False,False,unsupported,0.0013749999999979057,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-32,cardinal_direction,light_saudi,L1,dev,False,False,False,unsupported,0.001709000000002514,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-33,cardinal_direction,light_saudi,L2,dev,False,False,False,unsupported,0.001250000000008189,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-35,cardinal_direction,light_saudi,L2,dev,False,False,False,unsupported,0.001250000000008189,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-37,cardinal_direction,indirect_compositional,L4,dev,False,False,False,unsupported,0.0011659999999968917,,,,,,,,,,not_run,not_evaluated
core-cardinal_direction-39,cardinal_direction,indirect_compositional,L4,dev,False,False,False,unsupported,0.0012910000000004862,,,,,,,,,,not_run,not_evaluated
core-closer_of_two-01,closer_of_two,natural_msa,L1,dev,False,False,False,unsupported,0.001332999999992257,,,,,,,,,,not_run,not_evaluated
