split,task_type,id,class,reason
train,nearest_category,b3535f5aae6c7234,A,unique_visible_answer_agrees_with_gold
train,nearest_category,0a089e9ae7fed0f1,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1aeae56773067116,A,unique_visible_answer_agrees_with_gold
train,nearest_category,a5747250accd054e,A,unique_visible_answer_agrees_with_gold
train,nearest_category,7395ada6311b8c4a,A,unique_visible_answer_agrees_with_gold
train,nearest_category,35904dbabe3e19e4,A,unique_visible_answer_agrees_with_gold
train,nearest_category,970c68ff14764c82,A,unique_visible_answer_agrees_with_gold
train,nearest_category,65c8667b70c820f8,A,unique_visible_answer_agrees_with_gold
train,nearest_category,82665fe7d2633da3,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4b56d5a9757f3bfe,A,unique_visible_answer_agrees_with_gold
train,nearest_category,6c7cf4b34c22d498,A,unique_visible_answer_agrees_with_gold
train,nearest_category,ddd5d15906aed5fc,A,unique_visible_answer_agrees_with_gold
train,nearest_category,0370acd1e1b123d2,A,unique_visible_answer_agrees_with_gold
train,nearest_category,988fdec10c81d482,A,unique_visible_answer_agrees_with_gold
train,nearest_category,09ae3b52fb0dbd4b,A,unique_visible_answer_agrees_with_gold
train,nearest_category,331a9ce9775a0071,A,unique_visible_answer_agrees_with_gold
train,nearest_category,cbce1c87093e8783,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1004f7b6b916bbe8,A,unique_visible_answer_agrees_with_gold
train,nearest_category,223197058f97ab80,A,unique_visible_answer_agrees_with_gold
train,nearest_category,b4f1af1d81a0ff80,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e8c1c8f338bb1f15,A,unique_visible_answer_agrees_with_gold
train,nearest_category,f2bb660035a3b381,A,unique_visible_answer_agrees_with_gold
train,nearest_category,d631ca6f63264906,A,unique_visible_answer_agrees_with_gold
train,nearest_category,ee2a319faee25b6c,A,unique_visible_answer_agrees_with_gold
train,nearest_category,ddc5e26a62f3539b,A,unique_visible_answer_agrees_with_gold
train,nearest_category,f1f9793835831c23,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4fcb7c68ae6f765a,A,unique_visible_answer_agrees_with_gold
train,nearest_category,88e320a34fdf07dd,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e836e2b99baf2fd7,A,unique_visible_answer_agrees_with_gold
train,nearest_category,61b793055b1485d0,A,unique_visible_answer_agrees_with_gold
train,nearest_category,5c363c25d188cf14,A,unique_visible_answer_agrees_with_gold
train,nearest_category,643f94c592257754,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4ce86f0b0f5cb94f,A,unique_visible_answer_agrees_with_gold
train,nearest_category,c0c5859307311b4e,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e5e5453f0ad5bd2a,A,unique_visible_answer_agrees_with_gold
train,nearest_category,92af6784536c56a5,A,unique_visible_answer_agrees_with_gold
train,nearest_category,235cb652693812af,A,unique_visible_answer_agrees_with_gold
train,nearest_category,b824004143162c15,A,unique_visible_answer_agrees_with_gold
train,nearest_category,2f8d72882ce1f24a,A,unique_visible_answer_agrees_with_gold
train,nearest_category,9a327263829d9ef8,A,unique_visible_answer_agrees_with_gold
train,nearest_category,923f8556dcef7547,A,unique_visible_answer_agrees_with_gold
train,nearest_category,639d2747bb9d9220,A,unique_visible_answer_agrees_with_gold
train,nearest_category,0318c55cff753bce,A,unique_visible_answer_agrees_with_gold
train,nearest_category,26697e77ab1cd478,A,unique_visible_answer_agrees_with_gold
train,nearest_category,75214e5b35cd82ee,A,unique_visible_answer_agrees_with_gold
train,nearest_category,bcb6589d5bb44b75,A,unique_visible_answer_agrees_with_gold
train,nearest_category,87b601c91a8f2020,A,unique_visible_answer_agrees_with_gold
train,nearest_category,a74848f6e5c469fb,A,unique_visible_answer_agrees_with_gold
train,nearest_category,b0e5f77518bfefe9,A,unique_visible_answer_agrees_with_gold
train,nearest_category,83758c5308746ede,A,unique_visible_answer_agrees_with_gold
train,nearest_category,95c36a2359f2ee79,A,unique_visible_answer_agrees_with_gold
train,nearest_category,b15d41b3526e3b26,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e00040ac149b71e9,A,unique_visible_answer_agrees_with_gold
train,nearest_category,263be55b83a09c1b,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4c827f3dbba9392c,A,unique_visible_answer_agrees_with_gold
train,nearest_category,2c21dd6163323cc8,A,unique_visible_answer_agrees_with_gold
train,nearest_category,fd300df6e09353c6,A,unique_visible_answer_agrees_with_gold
train,nearest_category,f2e42627cd1ef9fc,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1211497881bbc11f,A,unique_visible_answer_agrees_with_gold
train,nearest_category,2e618c352764c72e,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e80ca777fed8dc76,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1cacba698d6b10e2,A,unique_visible_answer_agrees_with_gold
train,nearest_category,3071d905b221dcdb,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1d81b56074b140ca,A,unique_visible_answer_agrees_with_gold
train,nearest_category,cccede4a49bc9f49,A,unique_visible_answer_agrees_with_gold
train,nearest_category,f2905b0e3ea8d4ea,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e636f695b7c6ed1f,A,unique_visible_answer_agrees_with_gold
train,nearest_category,2ec884e7eacbb35f,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1f707f54596e197e,A,unique_visible_answer_agrees_with_gold
train,nearest_category,bc7031c042cfadbe,A,unique_visible_answer_agrees_with_gold
train,nearest_category,1784731367232994,A,unique_visible_answer_agrees_with_gold
train,nearest_category,c15dc428dcdb2780,A,unique_visible_answer_agrees_with_gold
train,nearest_category,0a5cd85250c46115,A,unique_visible_answer_agrees_with_gold
train,nearest_category,c281060a93d76c88,A,unique_visible_answer_agrees_with_gold
train,nearest_category,7383704f2f347afd,A,unique_visible_answer_agrees_with_gold
train,nearest_category,de31dc37fc9b9b84,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4b696056d8c6114e,A,unique_visible_answer_agrees_with_gold
train,nearest_category,2bc96277c1452b91,A,unique_visible_answer_agrees_with_gold
train,nearest_category,5854da133c579045,A,unique_visible_answer_agrees_with_gold
train,nearest_category,b8082d672368b73d,A,unique_visible_answer_agrees_with_gold
train,nearest_category,9b07d50e34ff8d37,A,unique_visible_answer_agrees_with_gold
train,nearest_category,e63383150b656686,A,unique_visible_answer_agrees_with_gold
train,nearest_category,4574f113602e4ac2,A,unique_visible_answer_agrees_with_gold
